Jméno;Hokej.cz ID;Tym;Nazev tymu;Sezona;Pozice;Vìk;GP;P;OFF;OFF IMPACT;POINT PRODUCTION;SHOOTING;PASSING;PEN DRAWN;PP;TRA;SHOT CONTRI;HD CHANCES;HD ASSISTS;CARRIES;ENTRY PASSES;POSS EXITS;DEF;DEF IMPACT;DENIALS;RECOVERIES;ROLE DIFF;PEN TAKEN;PK;First;Second;Jmeno hrace;Akt
Lukáš Klimek;8483;OLO;HC Olomouc;2023 / 2024;útoèník;36;29;4;11;30;10;14;18;59;-;34;51;64;22;61;34;10;94;98;47;60;96;48;34;Lukáš;Klimek;Klimek L.;17. 1. 2024
Lukáš Kováø;11621;VIT;HC Vítkovice RIDERA;2023 / 2024;obránce;31;24;3;43;35;53;88;26;48;-;11;17;9;30;11;40;27;5;6;43;-;67;67;95;Lukáš;Kováø;Kovar L.;17. 1. 2024
Lukáš Kucsera;11200;OLO;HC Olomouc;2023 / 2024;útoèník;32;17;8;65;35;88;68;66;70;-;18;45;33;66;10;8;13;60;70;1;57;7;97;-;Lukáš;Kucsera;Kucsera L.;17. 1. 2024
Lukáš Mareš;20921;OLO;HC Olomouc;2023 / 2024;obránce;24;15;1;11;14;16;26;23;1;-;9;12;30;6;20;72;34;2;3;10;-;32;83;-;Lukáš;Mareš;Mares L.;17. 1. 2024
Lukáš Nahodil;9949;OLO;HC Olomouc;2023 / 2024;útoèník;35;30;12;46;63;37;34;48;22;54;78;74;71;52;51;42;85;29;38;75;90;2;21;-;Lukáš;Nahodil;Nahodil L.;17. 1. 2024
Lukáš Pech;1099;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;39;13;3;26;21;40;7;68;98;2;36;32;8;99;12;54;31;17;19;76;21;6;84;-;Lukáš;Pech;Pech L.;17. 1. 2024
Lukáš Pulpán;7136;KVA;HC Energie Karlovy Vary;2023 / 2024;obránce;38;21;1;11;28;12;14;15;88;-;12;21;48;58;31;1;30;12;14;3;-;11;60;36;Lukáš;Pulpán;Pulpan L.;17. 1. 2024
Lukáš Radil;10440;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;33;32;29;82;46;95;99;37;16;79;87;80;81;78;98;97;25;23;18;69;4;31;75;-;Lukáš;Radil;Radil L.;17. 1. 2024
Lukáš Sedlák;12978;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;30;30;29;95;95;90;93;76;99;97;99;88;93;84;80;94;96;85;76;96;62;53;17;-;Lukáš;Sedlák;Sedlak L.;17. 1. 2024
Lukáš Válek;14465;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;29;27;12;83;61;90;96;49;31;22;60;26;52;48;64;61;57;1;3;94;56;23;81;-;Lukáš;Válek;Valek L.;17. 1. 2024
Lukáš Vopelka;14879;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;27;19;2;9;12;18;26;16;88;-;42;78;39;59;16;16;32;98;98;64;96;66;9;-;Lukáš;Vopelka;Vopelka L.;17. 1. 2024
Marcel Barinka;38171;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;22;14;11;84;76;89;97;27;7;-;13;21;44;33;5;1;14;31;33;81;26;60;97;-;Marcel;Barinka;Barinka M.;17. 1. 2024
Marek Baránek;13911;LIT;HC VERVA Litvínov;2023 / 2024;obránce;28;31;13;63;84;35;50;38;22;58;32;52;40;46;55;31;19;4;2;86;-;59;26;2;Marek;Baránek;Baranek M.;17. 1. 2024
Marek Ïaloga;18160;KOM;HC Kometa Brno;2023 / 2024;obránce;34;32;12;90;91;89;38;98;51;-;94;32;96;38;99;97;99;30;28;89;-;33;88;1;Marek;Ïaloga;Daloga M.;17. 1. 2024
Marek Kalus;12936;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;30;29;17;44;83;22;15;26;46;52;69;59;58;32;52;69;75;73;74;82;88;94;38;18;Marek;Kalus;Kalus M.;17. 1. 2024
Marek Zachar;17902;MHK;Mountfield HK;2023 / 2024;útoèník;25;23;3;8;17;11;19;8;90;-;7;11;30;6;43;43;1;16;12;17;7;97;82;76;Marek;Zachar;Zachar M.;17. 1. 2024
Marian Adámek;15156;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;26;30;7;65;17;79;78;78;86;-;50;86;68;70;34;1;14;77;71;50;-;38;57;-;Marian;Adámek;Adamek M.;17. 1. 2024
Mario Grman;10083232;VIT;HC Vítkovice RIDERA;2023 / 2024;obránce;26;29;3;24;40;24;50;34;54;-;40;45;5;77;70;57;17;92;91;70;-;6;20;44;Mario;Grman;Grman M.;17. 1. 2024
Marko Daòo;16023;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;28;18;19;99;99;98;95;96;79;80;94;85;97;67;67;98;47;70;66;93;97;1;26;-;Marko;Daòo;Dano M.;17. 1. 2024
Martin Beránek;39381;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;22;31;12;62;75;56;48;40;72;-;45;39;79;19;55;46;62;41;34;9;61;88;50;55;Martin;Beránek;Beranek M.;17. 1. 2024
Martin Buèko;10082096;PCE;HC Dynamo Pardubice;2023 / 2024;obránce;23;20;7;87;63;95;27;99;94;-;72;99;73;81;30;1;24;9;8;75;-;16;89;-;Martin;Buèko;Bucko M.;17. 1. 2024
Martin Faško-Rudáš;10079542;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;23;32;15;73;78;65;57;50;71;36;38;8;50;41;84;56;51;5;7;39;5;8;59;60;Martin;Faško-Rudáš;Fasko-Rudas M.;17. 1. 2024
Martin Hanzl;13089;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;29;18;4;24;44;18;31;14;23;21;62;66;47;74;34;36;71;42;46;28;94;38;73;-;Martin;Hanzl;Hanzl M.;17. 1. 2024
Martin Havelka;17112;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;25;33;2;4;1;8;10;35;93;-;2;2;1;18;1;9;20;90;91;87;72;31;24;94;Martin;Havelka;Havelka M.;17. 1. 2024
Martin Kaut;21531;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;23;24;22;95;81;94;97;84;18;97;85;99;98;24;94;59;61;59;52;68;70;15;30;23;Martin;Kaut;Kaut M.;17. 1. 2024
Martin Kohout;14193;KOM;HC Kometa Brno;2023 / 2024;útoèník;28;24;3;26;51;16;10;25;75;-;95;91;78;81;84;94;37;50;45;90;96;49;46;-;Martin;Kohout;Kohout M.;17. 1. 2024
Martin Marinèin;16247;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;31;34;14;85;97;70;4;97;33;6;82;91;72;96;46;24;21;60;56;87;-;15;69;65;Martin;Marinèin;Marincin M.;17. 1. 2024
Martin Plánìk;10211;MHK;Mountfield HK;2023 / 2024;obránce;32;33;7;54;42;62;39;80;56;-;53;64;43;79;39;28;51;83;82;48;-;64;74;81;Martin;Plánìk;Planek M.;17. 1. 2024
Martin Procházka;13766;KLA;Rytíøi Kladno;2023 / 2024;útoèník;29;32;12;75;53;82;77;70;66;10;34;40;38;21;32;26;95;1;1;46;35;19;39;-;Martin;Procházka;Prochazka M.;17. 1. 2024
Martin Rùièka;6360;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;37;32;32;86;85;80;71;73;17;85;61;90;74;65;8;76;5;36;39;33;76;40;56;-;Martin;Rùièka;Ruzicka M.;17. 1. 2024
Martin Zaoviè;6886;KOM;HC Kometa Brno;2023 / 2024;útoèník;38;33;16;69;39;79;72;77;10;12;40;35;51;69;6;89;3;34;38;57;36;30;34;26;Martin;Zaoviè;Zatovic M.;17. 1. 2024
Matìj Chalupa;18941;MHK;Mountfield HK;2023 / 2024;útoèník;25;23;5;46;37;50;17;83;51;-;54;70;65;8;56;61;53;20;16;77;73;99;88;-;Matìj;Chalupa;Chalupa M.;17. 1. 2024
Matej Pauloviè;2491895;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;29;28;12;55;24;70;74;69;20;-;56;35;57;89;49;67;8;77;73;39;45;69;84;39;Matej;Pauloviè;Paulovic M.;17. 1. 2024
Matìj Støíteskı;9447;KVA;HC Energie Karlovy Vary;2023 / 2024;obránce;32;32;6;19;26;27;66;14;10;12;30;11;11;28;48;77;43;54;59;90;-;76;35;84;Matìj;Støíteskı;Stritesky M.;17. 1. 2024
Matìj Toman;39351;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;23;28;5;13;13;22;46;20;70;-;29;36;7;49;31;41;64;82;84;56;48;62;72;62;Matìj;Toman;Toman M.;17. 1. 2024
Matouš Menšík;10082161;OLO;HC Olomouc;2023 / 2024;útoèník;20;17;1;6;11;7;39;1;1;-;27;26;10;29;83;46;72;66;75;1;45;93;10;-;Matouš;Menšík;Mensik M.;17. 1. 2024
Matti Järvinen;34;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;33;29;17;14;36;10;11;39;10;99;11;18;15;46;9;29;4;58;62;54;43;19;28;2;Matti;Järvinen;Jarvinen M.;17. 1. 2024
Matúš Sukel´;2491887;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;27;11;8;97;97;97;87;72;8;30;53;71;36;95;65;5;53;60;68;1;85;73;36;93;Matúš;Sukel´;Sukel M.;17. 1. 2024
Michael Frolík;8758;KLA;Rytíøi Kladno;2023 / 2024;útoèník;35;19;4;33;69;19;12;34;26;16;57;76;60;36;48;34;82;79;80;85;33;10;92;-;Michael;Frolík;Frolik M.;17. 1. 2024
Michal Birner;7961;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;37;29;9;25;25;30;41;32;49;12;48;32;25;74;50;70;58;88;90;65;2;3;88;-;Michal;Birner;Birner M.;17. 1. 2024
Michal Bulíø;11304;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;32;32;16;48;28;62;52;48;50;42;80;41;76;73;87;81;35;95;96;95;18;8;62;-;Michal;Bulíø;Bulir M.;17. 1. 2024
Michal Gulaši;7926;CEB;Banes Motor È. Budìjovice;2023 / 2024;obránce;37;31;1;5;4;9;19;12;27;-;4;7;4;9;5;56;13;13;11;26;-;84;31;91;Michal;Gulaši;Gulasi M.;17. 1. 2024
Michal Gut;10077703;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;21;25;4;24;3;49;76;11;74;-;6;5;8;15;30;3;34;30;40;49;51;84;12;21;Michal;Gut;Gut M.;17. 1. 2024
Michal Houdek;51951;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;23;26;5;53;11;78;53;85;74;-;55;54;54;44;33;1;92;58;61;89;-;78;27;37;Michal;Houdek;Houdek M.;17. 1. 2024
Michal Hrádek;4132419;PCE;HC Dynamo Pardubice;2023 / 2024;obránce;21;21;3;46;70;31;17;62;1;-;13;62;34;67;21;1;4;52;39;63;-;74;70;-;Michal;Hrádek;Hradek M.;17. 1. 2024
Michal Ivan;10096585;LIB;Bílí Tygøi Liberec;2023 / 2024;obránce;24;35;10;83;58;77;90;50;47;-;81;16;97;37;90;83;84;74;79;47;-;44;90;86;Michal;Ivan;Ivan M.;17. 1. 2024
Michal Kempnı;13000;SPA;HC Sparta Praha;2023 / 2024;obránce;33;34;24;97;80;96;93;93;63;80;77;79;87;29;83;49;91;27;23;7;-;48;59;68;Michal;Kempnı;Kempny M.;17. 1. 2024
Michal Kunc;30611;OLO;HC Olomouc;2023 / 2024;útoèník;22;33;17;59;31;74;75;73;19;13;33;39;46;10;88;32;48;8;10;42;31;62;62;90;Michal;Kunc;Kunc M.;17. 1. 2024
Michal Moravèík;14253;SPA;HC Sparta Praha;2023 / 2024;obránce;29;31;7;82;57;72;72;74;75;-;64;93;53;68;58;1;96;96;94;40;-;35;23;60;Michal;Moravèík;Moravcik M.;17. 1. 2024
Michal Plutnar;13276;KVA;HC Energie Karlovy Vary;2023 / 2024;obránce;29;33;13;68;78;58;31;73;62;50;27;37;21;17;59;42;66;30;36;88;-;52;22;43;Michal;Plutnar;Plutnar M.;17. 1. 2024
Michal Øepík;8701;SPA;HC Sparta Praha;2023 / 2024;útoèník;35;32;27;74;50;83;55;80;38;83;89;96;85;80;98;96;32;91;88;8;57;52;35;-;Michal;Øepík;Repik M.;17. 1. 2024
Mikuláš Hovorka;10082044;CEB;Banes Motor È. Budìjovice;2023 / 2024;obránce;22;33;12;89;89;85;83;66;17;28;87;97;63;65;72;44;87;31;32;69;-;42;14;75;Mikuláš;Hovorka;Hovorka M.;17. 1. 2024
Milan Doudera;12819;CEB;Banes Motor È. Budìjovice;2023 / 2024;obránce;30;28;11;73;30;90;68;83;70;-;76;72;45;48;80;84;70;56;52;30;-;89;86;32;Milan;Doudera;Doudera M.;17. 1. 2024
Milan Gulaš;7951;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;38;31;22;91;91;84;74;80;43;76;90;81;83;63;57;85;84;47;49;87;76;81;54;-;Milan;Gulaš;Gulas M.;17. 1. 2024
Miloš Roman;18964;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;24;34;11;16;6;30;43;32;44;48;17;24;35;28;4;10;6;93;89;82;95;76;67;46;Miloš;Roman;Roman M.;17. 1. 2024
Miroslav Forman;10560;SPA;HC Sparta Praha;2023 / 2024;útoèník;32;28;15;81;59;85;82;59;56;-;81;78;84;97;82;80;16;80;77;12;14;24;50;81;Miroslav;Forman;Forman M.;17. 1. 2024
Miroslav Indrák;14240;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;27;31;13;81;93;66;24;89;79;26;62;66;89;54;18;18;68;97;97;59;80;41;31;-;Miroslav;Indrák;Indrak M.;17. 1. 2024
Nicolas Hlava;13667;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;29;34;22;83;87;72;44;82;57;28;84;82;80;68;68;88;24;20;26;53;99;59;67;-;Nicolas;Hlava;Hlava N.;17. 1. 2024
Oliver Okuliar;10079544;MHK;Mountfield HK;2023 / 2024;útoèník;23;34;28;94;89;91;98;68;97;82;91;91;82;70;79;89;52;63;62;52;97;34;2;7;Oliver;Okuliar;Okuliar O.;17. 1. 2024
Ondøej Beránek;14041;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;28;30;15;49;65;42;70;12;64;39;30;50;88;5;31;73;15;14;17;10;9;16;7;97;Ondøej;Beránek;Beranek O.;17. 1. 2024
Ondøej Bláha;31281;KLA;Rytíøi Kladno;2023 / 2024;útoèník;23;28;7;52;20;77;80;53;74;-;9;4;69;2;4;41;1;3;6;67;3;79;70;85;Ondøej;Bláha;Blaha O.;17. 1. 2024
Ondøej Dlapa;11274;KVA;HC Energie Karlovy Vary;2023 / 2024;obránce;32;26;1;13;27;11;25;21;66;-;1;3;1;13;11;1;15;29;29;46;-;23;9;33;Ondøej;Dlapa;Dlapa O.;17. 1. 2024
Ondøej Jurèík;11273;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;31;28;6;17;2;33;61;33;48;-;24;23;22;35;35;33;12;47;55;96;79;44;66;72;Ondøej;Jurèík;Jurcik O.;17. 1. 2024
Ondøej Kachyòa;18507;CEB;Banes Motor È. Budìjovice;2023 / 2024;obránce;25;21;7;72;16;92;89;88;72;-;35;40;59;10;84;1;73;78;75;24;-;53;17;-;Ondøej;Kachyòa;Kachyna O.;17. 1. 2024
Ondøej Kaše;37;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;27;31;32;96;91;93;91;93;76;63;93;91;93;61;99;82;96;79;85;1;82;50;60;15;Ondøej;Kaše;Kase O.;17. 1. 2024
Ondøej Matıs;29371;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;24;30;10;68;67;64;85;43;53;-;59;60;22;80;76;21;99;32;31;34;38;13;74;-;Ondøej;Matıs;Matys O.;17. 1. 2024
