Jméno;Hokej.cz ID;Tym;Nazev tymu;Sezona;Pozice;Vìk;GP;P;OFF;OFF IMPACT;POINT PRODUCTION;SHOOTING;PASSING;PEN DRAWN;PP;TRA;SHOT CONTRI;HD CHANCES;HD ASSISTS;CARRIES;ENTRY PASSES;POSS EXITS;DEF;DEF IMPACT;DENIALS;RECOVERIES;ROLE DIFF;PEN TAKEN;PK;First;Second;Jmeno hrace;Akt
Peter Èerešòák;16240;PCE;HC Dynamo Pardubice;2023 / 2024;obránce;30;32;25;94;82;88;69;94;9;96;69;96;77;94;28;1;55;99;95;56;-;79;70;30;Peter;Èerešòák;Ceresnak P.;17. 1. 2024
Peter Krieger;7;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;30;31;13;21;49;15;24;19;93;48;41;42;27;75;26;48;48;49;55;20;68;57;39;-;Peter;Krieger;Krieger P.;17. 1. 2024
Peter Mueller;316216;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;35;17;13;27;34;25;49;25;11;94;65;82;17;71;62;79;65;95;97;79;25;36;83;-;Peter;Mueller;Mueller P.;17. 1. 2024
Petr Fridrich;37111;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;23;31;9;55;57;55;49;62;81;-;60;12;80;37;56;75;69;69;67;57;37;47;70;86;Petr;Fridrich;Fridrich P.;17. 1. 2024
Petr Gewiese;12268;MBL;BK Mladá Boleslav;2023 / 2024;obránce;30;34;3;21;60;15;61;1;84;-;36;68;10;30;65;75;31;59;67;14;-;57;46;28;Petr;Gewiese;Gewiese P.;17. 1. 2024
Petr Hauser;10083033;SPA;HC Sparta Praha;2023 / 2024;útoèník;19;23;4;23;5;45;4;93;65;-;39;61;66;36;65;16;77;30;25;1;12;50;58;-;Petr;Hauser;Hauser P.;17. 1. 2024
Petr Holík;12321;KOM;HC Kometa Brno;2023 / 2024;útoèník;31;29;11;59;68;49;41;56;4;4;67;71;67;94;54;83;11;49;48;12;26;28;94;-;Petr;Holík;Holik P.;17. 1. 2024
Petr Chlán;31051;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;24;24;8;25;39;20;42;18;29;75;21;13;53;7;27;14;65;50;53;80;8;68;20;63;Petr;Chlán;Chlan P.;17. 1. 2024
Petr Kalina;17225;MHK;Mountfield HK;2023 / 2024;obránce;26;34;4;25;39;30;41;33;11;-;23;26;37;34;16;85;30;80;76;54;-;94;62;78;Petr;Kalina;Kalina P.;17. 1. 2024
Petr Koblasa;13233;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;29;34;24;54;32;60;83;31;25;70;55;62;91;69;45;32;46;61;69;20;6;88;95;-;Petr;Koblasa;Koblasa P.;17. 1. 2024
Petr Straka;11296;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;31;29;5;36;14;55;22;87;39;-;51;46;24;32;57;68;63;11;13;81;87;33;55;84;Petr;Straka;Straka P.;17. 1. 2024
Petr Vrána;2182;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;38;34;11;28;18;38;22;54;31;15;20;28;6;23;36;47;43;45;41;25;62;14;32;70;Petr;Vrána;Vrana P.;17. 1. 2024
Petr Zámorskı;12347;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;31;32;26;95;87;91;97;77;8;75;89;92;29;87;86;81;98;49;51;5;-;36;72;61;Petr;Zámorskı;Zamorsky P.;17. 1. 2024
Radek Jeøábek;17234;VIT;HC Vítkovice RIDERA;2023 / 2024;obránce;25;24;1;15;48;14;3;30;77;-;26;18;94;23;17;47;29;63;70;2;-;69;76;-;Radek;Jeøábek;Jerabek R.;17. 1. 2024
Radek Kuèeøík;35491;KOM;HC Kometa Brno;2023 / 2024;obránce;22;33;6;31;24;44;85;11;91;-;79;39;81;33;64;82;83;65;58;42;-;89;30;40;Radek;Kuèeøík;Kucerik R.;17. 1. 2024
Radek Muík;1055795;SPA;HC Sparta Praha;2023 / 2024;útoèník;22;18;2;3;4;3;16;20;11;-;10;7;1;45;24;49;12;4;3;35;1;91;83;-;Radek;Muík;Muzik R.;17. 1. 2024
Radek Pilaø;14881;MHK;Mountfield HK;2023 / 2024;útoèník;27;26;2;5;10;9;14;7;12;-;6;4;27;9;10;36;55;72;65;1;12;82;48;22;Radek;Pilaø;Pilar R.;17. 1. 2024
Radek Smoleòák;6731;KLA;Rytíøi Kladno;2023 / 2024;útoèník;36;26;16;73;79;63;91;24;78;86;22;31;42;62;3;48;8;25;22;11;30;11;7;-;Radek;Smoleòák;Smolenak R.;17. 1. 2024
Radim Šalda;19035;LIT;HC VERVA Litvínov;2023 / 2024;obránce;24;33;2;42;67;28;56;25;79;-;18;22;47;7;43;38;22;41;48;98;-;1;18;47;Radim;Šalda;Salda R.;17. 1. 2024
Radovan Pavlík;16940;MHK;Mountfield HK;2023 / 2024;útoèník;25;25;5;18;52;6;1;27;25;-;82;77;42;56;67;92;91;84;83;62;74;84;11;35;Radovan;Pavlík;Pavlik R.;17. 1. 2024
Ralfs Freibergs;10079557;MHK;Mountfield HK;2023 / 2024;obránce;32;34;6;37;44;46;34;63;58;4;50;41;89;50;52;70;11;67;62;29;-;22;39;93;Ralfs;Freibergs;Freibergs R.;17. 1. 2024
Rastislav Dej;10666;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;34;27;5;54;70;48;58;30;5;-;8;15;41;1;39;6;13;54;56;40;34;83;45;24;Rastislav;Dej;Dej R.;17. 1. 2024
Rhett Holland;10083253;KOM;HC Kometa Brno;2023 / 2024;obránce;29;31;2;9;7;13;10;17;96;-;67;49;49;93;10;35;54;62;53;72;-;87;10;58;Rhett;Holland;Holland R.;17. 1. 2024
Richard Jarùšek;11188;KLA;Rytíøi Kladno;2023 / 2024;útoèník;32;32;8;45;60;36;3;91;94;8;42;20;29;20;37;64;93;62;66;67;66;21;44;-;Richard;Jarùšek;Jarusek R.;17. 1. 2024
Richard Nedomlel;13220;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;30;34;1;6;1;11;19;24;15;-;2;14;1;5;13;1;7;34;30;68;-;61;51;35;Richard;Nedomlel;Nedomlel R.;17. 1. 2024
Richard Pánik;46;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;32;34;21;76;59;79;84;47;63;29;76;83;83;18;96;93;52;9;5;1;87;10;14;-;Richard;Pánik;Panik R.;17. 1. 2024
Robert Kousal;10438;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;32;32;28;80;41;95;53;97;32;26;85;85;95;71;74;77;38;28;19;68;22;28;52;-;Robert;Kousal;Kousal R.;17. 1. 2024
Róbert Lantoši;23941;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;27;34;29;80;95;60;81;46;45;98;88;88;62;91;95;66;87;51;51;44;52;58;56;-;Róbert;Lantoši;Lantosi R.;17. 1. 2024
Robert Øíèka;10315;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;34;32;19;39;20;40;63;57;73;90;44;58;68;6;44;53;33;71;58;98;50;51;49;-;Robert;Øíèka;Ricka R.;17. 1. 2024
Roberts Bukarts;5919098;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;33;30;12;29;30;31;80;1;52;19;43;53;57;60;28;22;19;56;60;92;59;26;41;-;Roberts;Bukarts;Bukarts R.;17. 1. 2024
Rok Macuh;53281;OLO;HC Olomouc;2023 / 2024;útoèník;26;32;22;90;77;92;84;88;98;59;75;84;43;82;66;30;76;53;57;91;47;91;3;65;Rok;Macuh;Macuh R.;17. 1. 2024
Roman Horák;10339;SPA;HC Sparta Praha;2023 / 2024;útoèník;32;34;28;89;85;83;60;87;33;75;79;77;89;94;60;18;60;54;47;49;47;38;96;-;Roman;Horák;Horak R.;17. 1. 2024
Roman Vráblík;10250;CEB;Banes Motor È. Budìjovice;2023 / 2024;obránce;33;25;4;51;90;29;13;30;61;-;34;37;33;19;70;39;48;69;69;38;-;20;41;25;Roman;Vráblík;Vrablik R.;17. 1. 2024
Ronald Knot;13592;LIB;Bílí Tygøi Liberec;2023 / 2024;obránce;29;28;13;58;20;71;89;29;41;17;83;24;95;61;88;58;79;91;90;55;-;70;95;88;Ronald;Knot;Knot R.;17. 1. 2024
Sebastian Malát;10079113;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;21;27;7;34;27;41;62;41;80;-;35;34;7;4;81;59;73;52;53;83;60;90;16;-;Sebastian;Malát;Malat S.;17. 1. 2024
Silvester Kusko;14492;OLO;HC Olomouc;2023 / 2024;útoèník;28;31;7;11;42;6;37;1;53;16;12;17;13;38;17;17;35;59;68;31;44;70;40;3;Silvester;Kusko;Kusko S.;17. 1. 2024
Steve Moses;43;KOM;HC Kometa Brno;2023 / 2024;útoèník;34;33;22;69;64;61;88;36;83;87;80;36;92;33;90;78;83;36;35;89;11;42;77;-;Steve;Moses;Moses S.;17. 1. 2024
Stuart Percy;10099422;VIT;HC Vítkovice RIDERA;2023 / 2024;obránce;30;28;16;39;66;41;21;61;67;72;70;51;46;91;53;33;44;50;57;82;-;11;68;-;Stuart;Percy;Percy S.;17. 1. 2024
T.J. Melancon;10099298;LIB;Bílí Tygøi Liberec;2023 / 2024;obránce;27;34;21;93;75;94;96;84;89;66;99;50;98;95;79;94;75;16;22;78;-;5;96;-;T.J.;Melancon;Melancon T.;17. 1. 2024
Tadeáš Hejda;17092;KLA;Rytíøi Kladno;2023 / 2024;obránce;26;32;7;48;34;54;71;54;23;-;8;9;13;39;29;1;33;37;42;53;-;16;37;51;Tadeáš;Hejda;Hejda T.;17. 1. 2024
Tim Söderlund;25;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;26;32;24;89;84;84;85;83;85;68;65;49;35;57;71;56;89;76;83;50;67;17;79;49;Tim;Söderlund;Soderlund T.;17. 1. 2024
Tomáš Bartejs;12172;KVA;HC Energie Karlovy Vary;2023 / 2024;obránce;31;13;4;32;15;70;23;95;69;-;73;19;22;90;60;63;97;79;86;17;-;98;16;-;Tomáš;Bartejs;Bartejs T.;17. 1. 2024
Tomáš Èernı;15644;OLO;HC Olomouc;2023 / 2024;obránce;25;25;1;4;11;1;28;1;40;-;25;59;16;18;38;71;12;70;73;67;-;30;56;26;Tomáš;Èernı;Cerny T.;17. 1. 2024
Tomáš Dujsík;12883;PLZ;HC Škoda Plzeò;2023 / 2024;obránce;31;29;5;44;55;42;74;19;29;-;37;75;6;43;78;36;50;89;89;45;-;34;49;18;Tomáš;Dujsík;Dujsik T.;17. 1. 2024
Tomáš Dvoøák;14026;PCE;HC Dynamo Pardubice;2023 / 2024;obránce;28;31;8;76;83;63;7;91;36;-;22;74;17;53;7;25;60;42;31;61;-;64;80;82;Tomáš;Dvoøák;Dvorak T.;17. 1. 2024
Tomáš Filippi;11957;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;31;36;39;93;82;93;81;91;49;73;58;84;21;91;78;49;49;14;20;16;22;61;29;16;Tomáš;Filippi;Filippi T.;17. 1. 2024
Tomáš Foøt;12283;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;31;28;13;51;90;24;61;14;94;88;74;68;62;61;58;25;83;91;91;76;90;71;75;77;Tomáš;Foøt;Fort T.;17. 1. 2024
Tomáš Galvas;10097211;LIB;Bílí Tygøi Liberec;2023 / 2024;obránce;17;19;4;96;95;87;67;82;38;-;92;50;99;75;89;98;71;73;80;11;-;91;89;-;Tomáš;Galvas;Galvas T.;17. 1. 2024
Tomáš Havlín;14798;KVA;HC Energie Karlovy Vary;2023 / 2024;obránce;27;26;2;34;68;26;80;1;78;-;74;30;75;42;54;66;85;20;25;83;-;2;19;89;Tomáš;Havlín;Havlin T.;17. 1. 2024
Tomáš Hyka;12581;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;30;31;26;91;80;85;76;89;91;78;97;93;82;93;88;95;80;66;59;54;83;55;65;-;Tomáš;Hyka;Hyka T.;17. 1. 2024
Tomáš Chlubna;9417638;CEB;Banes Motor È. Budìjovice;2023 / 2024;útoèník;21;26;3;15;24;17;2;61;24;-;45;36;73;39;10;62;28;33;32;89;41;65;89;-;Tomáš;Chlubna;Chlubna T.;17. 1. 2024
Tomáš Kundrátek;9580;TRI;HC Oceláøi Tøinec;2023 / 2024;obránce;33;33;13;69;25;75;87;71;11;36;75;41;39;88;50;48;52;17;13;80;-;71;48;-;Tomáš;Kundrátek;Kundratek T.;17. 1. 2024
Tomáš Marcinko;47331;KOM;HC Kometa Brno;2023 / 2024;útoèník;35;32;13;47;53;39;48;35;48;5;28;38;23;49;19;51;6;56;50;90;55;94;8;30;Tomáš;Marcinko;Marcinko T.;17. 1. 2024
Tomáš Mertl;7953;PLZ;HC Škoda Plzeò;2023 / 2024;útoèník;37;23;8;70;69;71;83;23;4;3;36;47;68;13;52;38;47;78;81;14;69;24;22;31;Tomáš;Mertl;Mertl T.;17. 1. 2024
Tomáš Pavelka;12962;MHK;Mountfield HK;2023 / 2024;obránce;30;33;18;88;88;68;86;56;16;88;95;65;85;74;73;93;95;40;34;60;-;45;81;42;Tomáš;Pavelka;Pavelka T.;17. 1. 2024
Tomáš Plekanec;2077;KLA;Rytíøi Kladno;2023 / 2024;útoèník;40;9;4;5;26;1;13;1;77;65;15;16;19;16;6;39;46;82;87;99;1;93;1;57;Tomáš;Plekanec;Plekanec T.;17. 1. 2024
Tomáš Rachùnek;10470;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;32;31;21;78;74;68;79;61;14;43;81;81;26;89;71;87;90;15;14;36;41;5;90;-;Tomáš;Rachùnek;Rachunek T.;17. 1. 2024
Tomáš Redlich;13325;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;30;33;8;17;13;27;31;50;41;-;18;7;16;26;18;55;77;99;99;30;4;55;80;11;Tomáš;Redlich;Redlich T.;17. 1. 2024
Tomáš Šmerha;17440;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;25;22;2;18;54;11;16;8;85;-;49;46;48;53;63;52;50;46;45;70;11;64;51;-;Tomáš;Šmerha;Smerha T.;17. 1. 2024
Tomáš Vincour;9904;KOM;HC Kometa Brno;2023 / 2024;útoèník;32;21;11;85;56;89;93;76;66;89;27;10;11;55;13;88;22;44;42;83;28;87;10;-;Tomáš;Vincour;Vincour T.;17. 1. 2024
Tomáš Vondráèek;10860;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;32;26;5;58;83;44;47;26;86;-;55;79;96;30;41;26;30;10;1;32;98;89;63;-;Tomáš;Vondráèek;Vondracek T.;17. 1. 2024
Tomáš Zohorna;9032;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;35;31;21;76;34;91;50;98;56;6;54;54;13;90;38;19;95;19;14;53;75;18;37;38;Tomáš;Zohorna;Zohorna T.;17. 1. 2024
Václav Veber;31901;KLA;Rytíøi Kladno;2023 / 2024;obránce;24;30;2;22;53;19;46;18;30;-;28;22;51;4;47;74;35;18;20;31;-;43;91;4;Václav;Veber;Veber V.;17. 1. 2024
Valentin Claireaux;10097120;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;32;19;3;30;48;21;20;34;6;-;20;19;55;14;41;35;40;7;8;1;17;68;90;-;Valentin;Claireaux;Claireaux V.;17. 1. 2024
Viliam Èacho;30;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;24;34;11;50;19;69;56;85;77;-;71;51;40;50;74;87;33;40;32;88;94;46;8;1;Viliam;Èacho;Cacho V.;17. 1. 2024
Vít Jiskra;3087341;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;22;33;15;43;33;47;67;38;69;34;16;13;25;13;53;15;62;87;86;26;42;67;91;52;Vít;Jiskra;Jiskra V.;17. 1. 2024
Vladimír Draveckı;53425;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;38;34;4;8;4;16;25;15;42;-;4;17;5;25;3;2;26;46;36;91;10;49;15;37;Vladimír;Draveckı;Dravecky V.;17. 1. 2024
Vladimír Sobotka;7271;SPA;HC Sparta Praha;2023 / 2024;útoèník;36;26;18;60;33;71;79;41;26;50;61;63;52;55;75;68;30;67;61;63;32;83;33;-;Vladimír;Sobotka;Sobotka V.;17. 1. 2024
Vojtìch Budík;17410;LIB;Bílí Tygøi Liberec;2023 / 2024;obránce;26;32;12;86;61;86;65;89;64;9;78;30;50;63;87;78;82;6;5;65;-;58;54;-;Vojtìch;Budík;Budik V.;17. 1. 2024
Vojtìch Mozík;12817;SPA;HC Sparta Praha;2023 / 2024;obránce;30;25;5;70;76;48;59;50;35;-;62;75;83;59;32;67;10;82;77;35;-;26;8;16;Vojtìch;Mozík;Mozik V.;17. 1. 2024
Willie Raskob;11;VIT;HC Vítkovice RIDERA;2023 / 2024;obránce;28;30;15;98;98;99;77;86;65;15;90;85;74;98;81;69;55;32;35;37;-;73;97;-;Willie;Raskob;Raskob W.;17. 1. 2024
Yohann Auvitu;60;VIT;HC Vítkovice RIDERA;2023 / 2024;obránce;34;14;6;41;46;43;70;36;90;64;24;34;70;16;42;54;25;8;12;4;-;80;55;-;Yohann;Auvitu;Auvitu Y.;17. 1. 2024
Zach Osburn;45;KOM;HC Kometa Brno;2023 / 2024;obránce;26;34;13;33;18;49;82;42;45;39;98;94;89;60;98;60;81;25;19;93;-;49;32;-;Zach;Osburn;Osburn Z.;17. 1. 2024
Zdenìk Okál;10466;KOM;HC Kometa Brno;2023 / 2024;útoèník;33;32;7;28;5;45;65;36;95;-;47;27;54;31;47;90;26;94;90;55;49;81;16;28;Zdenìk;Okál;Okal Z.;17. 1. 2024
Adam Brízgala;17213;KLA;Rytíøi Kladno;2023 / 2024;brankáø;25;21;;17;17;4;58;10;42;;23;23;10;77;10;26;;42;42;14;26;17;86;;Adam;Brízgala;Brizgala A.;17. 1. 2024
Branislav Konrád;32651;OLO;HC Olomouc;2023 / 2024;brankáø;35;23;;80;80;89;96;42;70;;93;93;77;80;67;93;;23;23;83;86;14;1;;Branislav;Konrád;Konrad B.;17. 1. 2024
Daniel Král;10078861;LIB;Bílí Tygøi Liberec;2023 / 2024;brankáø;20;25;;52;52;96;67;36;33;;70;70;83;61;61;45;;36;36;96;80;36;17;;Daniel;Král;Kral D.;17. 1. 2024
Dávid Hrenák;3;LIB;Bílí Tygøi Liberec;2023 / 2024;brankáø;25;9;;33;33;86;64;26;39;;83;83;80;55;80;58;;4;4;89;33;10;10;;Dávid;Hrenák;Hrenak D.;17. 1. 2024
Dominik Frodl;15316;KVA;HC Energie Karlovy Vary;2023 / 2024;brankáø;27;32;;99;99;26;99;99;36;;96;96;17;96;93;61;;70;70;29;64;93;7;;Dominik;Frodl;Frodl D.;17. 1. 2024
Dominik Furch;10449;KOM;HC Kometa Brno;2023 / 2024;brankáø;33;19;;70;70;17;42;80;61;;61;61;20;48;58;55;;64;64;39;42;64;64;;Dominik;Furch;Furch D.;17. 1. 2024
Dominik Hrachovina;13641;CEB;Banes Motor È. Budìjovice;2023 / 2024;brankáø;29;27;;48;48;23;61;4;83;;7;7;7;17;1;89;;96;96;67;96;89;77;;Dominik;Hrachovina;Hrachovina D.;17. 1. 2024
Dominik Pavlát;18455;PLZ;HC Škoda Plzeò;2023 / 2024;brankáø;23;21;;96;96;36;29;93;89;;86;86;36;33;99;67;;86;86;55;55;33;99;;Dominik;Pavlát;Pavlat D.;17. 1. 2024
Eetu Laurikainen;4;MHK;Mountfield HK;2023 / 2024;brankáø;30;4;;20;20;52;52;29;29;;39;39;55;74;23;33;;45;45;33;36;86;23;;Eetu;Laurikainen;Laurikainen E.;17. 1. 2024
Filip Novotnı;11407;MBL;BK Mladá Boleslav;2023 / 2024;brankáø;32;20;;10;10;77;80;17;17;;42;42;96;89;33;4;;7;7;20;14;4;70;;Filip;Novotnı;Novotny F.;17. 1. 2024
Henri Kiviaho;318342;MHK;Mountfield HK;2023 / 2024;brankáø;29;5;;58;58;55;36;64;52;;45;45;48;36;36;52;;67;67;48;45;77;52;;Henri;Kiviaho;Kiviaho H.;17. 1. 2024
Jakub Kováø;1;SPA;HC Sparta Praha;2023 / 2024;brankáø;35;22;;64;64;29;33;89;45;;14;14;33;39;29;36;;77;77;45;48;99;39;;Jakub;Kováø;Kovar J.;17. 1. 2024
Jakub Sedláèek;9869;OLO;HC Olomouc;2023 / 2024;brankáø;33;15;;14;14;10;23;83;7;;26;26;26;64;64;10;;33;33;7;10;70;48;;Jakub;Sedláèek;Sedlacek J.;17. 1. 2024
Jan Kavan;10093587;KOM;HC Kometa Brno;2023 / 2024;brankáø;18;7;;45;45;39;4;70;74;;67;67;64;45;89;39;;39;39;10;7;45;89;;Jan;Kavan;Kavan J.;17. 1. 2024
Jan Lukáš;11905;MHK;Mountfield HK;2023 / 2024;brankáø;30;14;;67;67;64;48;48;77;;17;17;29;1;48;64;;80;80;93;89;42;67;;Jan;Lukáš;Lukas J.;17. 1. 2024
Jan Rùièka;15662;MBL;BK Mladá Boleslav;2023 / 2024;brankáø;26;19;;26;26;1;7;7;93;;55;55;1;23;7;99;;1;1;64;17;7;33;;Jan;Rùièka;Ruzicka J.;17. 1. 2024
Jan Strmeò;11556;CEB;Banes Motor È. Budìjovice;2023 / 2024;brankáø;31;11;;61;61;70;74;74;14;;77;77;70;86;83;17;;48;48;42;61;39;36;;Jan;Strmeò;Strmen J.;17. 1. 2024
Josef Koøenáø;18658;SPA;HC Sparta Praha;2023 / 2024;brankáø;25;16;;74;74;74;77;61;48;;64;64;74;67;55;42;;74;74;52;77;48;45;;Josef;Koøenáø;Korenar J.;17. 1. 2024
Landon Bow;10084498;KLA;Rytíøi Kladno;2023 / 2024;brankáø;28;17;;4;4;7;1;39;4;;4;4;39;4;70;7;;29;29;1;29;29;58;;Landon;Bow;Bow L.;17. 1. 2024
Lukáš Klimeš;13132;VIT;HC Vítkovice RIDERA;2023 / 2024;brankáø;29;21;;89;89;67;55;58;96;;89;89;67;10;86;96;;83;83;86;99;20;83;;Lukáš;Klimeš;Klimes L.;17. 1. 2024
Lukáš Paøík;3331756;LIB;Bílí Tygøi Liberec;2023 / 2024;brankáø;22;8;;55;55;33;14;77;64;;58;58;23;7;74;77;;61;61;58;58;55;61;;Lukáš;Paøík;Parik L.;17. 1. 2024
Marek Mazanec;10249;TRI;HC Oceláøi Tøinec;2023 / 2024;brankáø;32;24;;77;77;80;83;86;26;;48;48;86;70;39;23;;89;89;61;70;96;42;;Marek;Mazanec;Mazanec M.;17. 1. 2024
Matìj Machovskı;12013;VIT;HC Vítkovice RIDERA;2023 / 2024;brankáø;30;16;;7;7;93;20;45;20;;52;52;89;26;77;29;;20;20;74;67;26;4;;Matìj;Machovskı;Machovsky M.;17. 1. 2024
Matej Tomek;40031;LIT;HC VERVA Litvínov;2023 / 2024;brankáø;26;26;;83;83;42;39;55;99;;33;33;4;20;26;74;;93;93;99;74;80;96;;Matej;Tomek;Tomek M.;17. 1. 2024
Milan Klouèek;18731;PCE;HC Dynamo Pardubice;2023 / 2024;brankáø;25;8;;29;29;83;93;14;10;;20;20;93;93;4;14;;58;58;36;39;58;55;;Milan;Klouèek;Kloucek M.;17. 1. 2024
Ondøej Kacetl;10362;TRI;HC Oceláøi Tøinec;2023 / 2024;brankáø;32;13;;23;23;45;45;33;23;;10;10;42;58;17;20;;55;55;26;52;61;29;;Ondøej;Kacetl;Kacetl O.;17. 1. 2024
Patrik Bartošák;12834;MHK;Mountfield HK;2023 / 2024;brankáø;30;17;;86;86;48;70;67;80;;36;36;58;42;45;48;;99;99;23;93;83;93;;Patrik;Bartošák;Bartosak P.;17. 1. 2024
Roman Will;10989;PCE;HC Dynamo Pardubice;2023 / 2024;brankáø;31;27;;42;42;20;26;52;55;;80;80;61;52;42;83;;14;14;4;4;67;14;;Roman;Will;Will R.;17. 1. 2024
Samuel Hlavaj;2;PLZ;HC Škoda Plzeò;2023 / 2024;brankáø;22;16;;36;36;58;89;1;67;;74;74;45;83;20;70;;17;17;80;83;1;74;;Samuel;Hlavaj;Hlavaj S.;17. 1. 2024
Šimon Zajíèek;3084138;LIT;HC VERVA Litvínov;2023 / 2024;brankáø;22;12;;93;93;99;86;96;58;;99;99;99;99;96;80;;26;26;70;1;74;20;;Šimon;Zajíèek;Zajicek S.;17. 1. 2024
Štìpán Lukeš;15242;KOM;HC Kometa Brno;2023 / 2024;brankáø;27;12;;1;1;61;10;23;1;;1;1;52;14;52;1;;10;10;77;20;23;26;;Štìpán;Lukeš;Lukes S.;17. 1. 2024
Vladislav Habal;10380;KVA;HC Energie Karlovy Vary;2023 / 2024;brankáø;32;4;;39;39;14;17;20;86;;29;29;14;29;14;86;;52;52;17;23;52;80;;Vladislav;Habal;Habal V.;17. 1. 2024
