;Jmeno;Tym;image_path
52;Eduards Tralmaks;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Eduards Tralmaks Rytiri Kladno.png
53;Evan Jasper;Mountfield HK;/mount/src/hokejove_karty/Karty/Evan Jasper Mountfield HK.png
54;Filip Chlapík;HC Sparta Praha;/mount/src/hokejove_karty/Karty/Filip Chlapik HC Sparta Praha.png
55;Filip Jansa;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Filip Jansa HC Skoda Plzen.png
56;Filip Koffer;HC Energie Karlovy Vary;/mount/src/hokejove_karty/Karty/Filip Koffer HC Energie Karlovy Vary.png
57;Filip Krivošík;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Filip Krivosik BK Mlada Boleslav.png
58;Filip Pavlík;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Filip Pavlik BK Mlada Boleslav.png
59;Filip Přikryl;Banes Motor Č. Budějovice;/mount/src/hokejove_karty/Karty/Filip Prikryl Banes Motor C. Budejovice.png
60;Filip Pyrochta;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Filip Pyrochta BK Mlada Boleslav.png
61;Filip Suchý;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Filip Suchy BK Mlada Boleslav.png
62;Giorgio Estephan;Mountfield HK;/mount/src/hokejove_karty/Karty/Giorgio Estephan Mountfield HK.png
63;Greg Moro;HC Kometa Brno;/mount/src/hokejove_karty/Karty/Greg Moro HC Kometa Brno.png
64;Chris Martenet;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Chris Martenet Rytiri Kladno.png
65;Christophe Lalancette;Mountfield HK;/mount/src/hokejove_karty/Karty/Christophe Lalancette Mountfield HK.png
66;Ian McCoshen;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Ian McCoshen Bili Tygri Liberec.png
67;Iikka Kangasniemi;HC Energie Karlovy Vary;/mount/src/hokejove_karty/Karty/Iikka Kangasniemi HC Energie Karlovy Vary.png
68;Jáchym Kondelík;Banes Motor Č. Budějovice;/mount/src/hokejove_karty/Karty/Jachym Kondelik Banes Motor C. Budejovice.png
69;Jake Dotchin;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Jake Dotchin Rytiri Kladno.png
70;Jakub Babka;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Jakub Babka Rytiri Kladno.png
71;Jakub Dvořák;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Jakub Dvorak Bili Tygri Liberec.png
72;Jakub Flek;HC Kometa Brno;/mount/src/hokejove_karty/Karty/Jakub Flek HC Kometa Brno.png
73;Jakub Jeřábek;HC Oceláři Třinec;/mount/src/hokejove_karty/Karty/Jakub Jerabek HC Ocelari Trinec.png
74;Jakub Klepiš;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Jakub Klepis Rytiri Kladno.png
75;Jakub Konečný;HC Sparta Praha;/mount/src/hokejove_karty/Karty/Jakub Konecny HC Sparta Praha.png
76;Jakub Kos;HC Kometa Brno;/mount/src/hokejove_karty/Karty/Jakub Kos HC Kometa Brno.png
77;Jakub Kotala;HC Vítkovice RIDERA;/mount/src/hokejove_karty/Karty/Jakub Kotala HC Vitkovice RIDERA.png
78;Jakub Krejčík;HC Sparta Praha;/mount/src/hokejove_karty/Karty/Jakub Krejcik HC Sparta Praha.png
79;Jakub Lev;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Jakub Lev HC Skoda Plzen.png
80;Jakub Navrátil;HC Olomouc;/mount/src/hokejove_karty/Karty/Jakub Navratil HC Olomouc.png
81;Jakub Orsava;HC Olomouc;/mount/src/hokejove_karty/Karty/Jakub Orsava HC Olomouc.png
82;Jakub Pour;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Jakub Pour HC Skoda Plzen.png
83;Jakub Rychlovský;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Jakub Rychlovsky Bili Tygri Liberec.png
84;Jakub Sirota;HC Olomouc;/mount/src/hokejove_karty/Karty/Jakub Sirota HC Olomouc.png
85;Jakub Strnad;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Jakub Strnad Rytiri Kladno.png
86;Jakub Šiler;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Jakub Siler HC Skoda Plzen.png
87;Jakub Valský;Banes Motor Č. Budějovice;/mount/src/hokejove_karty/Karty/Jakub Valsky Banes Motor C. Budejovice.png
88;Jan Bambula;HC Olomouc;/mount/src/hokejove_karty/Karty/Jan Bambula HC Olomouc.png
89;Jan Buchtele;HC Sparta Praha;/mount/src/hokejove_karty/Karty/Jan Buchtele HC Sparta Praha.png
90;Jan Eberle;Mountfield HK;/mount/src/hokejove_karty/Karty/Jan Eberle Mountfield HK.png
91;Jan Hladonik;HC Energie Karlovy Vary;/mount/src/hokejove_karty/Karty/Jan Hladonik HC Energie Karlovy Vary.png
92;Jan Káňa;HC Olomouc;/mount/src/hokejove_karty/Karty/Jan Kana HC Olomouc.png
93;Jan Knotek;HC Olomouc;/mount/src/hokejove_karty/Karty/Jan Knotek HC Olomouc.png
94;Jan Kolář;HC Dynamo Pardubice;/mount/src/hokejove_karty/Karty/Jan Kolar HC Dynamo Pardubice.png
95;Jan Košťálek;HC Dynamo Pardubice;/mount/src/hokejove_karty/Karty/Jan Kostalek HC Dynamo Pardubice.png
96;Jan Mandát;HC Dynamo Pardubice;/mount/src/hokejove_karty/Karty/Jan Mandat HC Dynamo Pardubice.png
97;Jan Ordoš;Banes Motor Č. Budějovice;/mount/src/hokejove_karty/Karty/Jan Ordos Banes Motor C. Budejovice.png
98;Jan Piskáček;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Jan Piskacek HC Skoda Plzen.png
99;Jan Schleiss;HC Škoda Plzeň;/mount/src/hokejove_karty/Karty/Jan Schleiss HC Skoda Plzen.png
100;Jan Stránský;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Jan Stransky BK Mlada Boleslav.png
101;Jan Ščotka;HC Kometa Brno;/mount/src/hokejove_karty/Karty/Jan Scotka HC Kometa Brno.png
102;Jan Šír;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Jan Sir Bili Tygri Liberec.png
103;Jan Štencel;Banes Motor Č. Budějovice;/mount/src/hokejove_karty/Karty/Jan Stencel Banes Motor C. Budejovice.png
104;Jan Štibingr;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Jan Stibingr BK Mlada Boleslav.png
105;Jan Švrček;HC Olomouc;/mount/src/hokejove_karty/Karty/Jan Svrcek HC Olomouc.png
106;Jan Závora;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Jan Zavora BK Mlada Boleslav.png
107;Jani Lajunen;HC Sparta Praha;/mount/src/hokejove_karty/Karty/Jani Lajunen HC Sparta Praha.png
108;Janis Jaks;HC VERVA Litvínov;/mount/src/hokejove_karty/Karty/Janis Jaks HC VERVA Litvinov.png
109;Jaromír Jágr;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Jaromir Jagr Rytiri Kladno.png
110;Jaromír Pérez;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Jaromir Perez Bili Tygri Liberec.png
111;Jaromír Pytlík;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Jaromir Pytlik Rytiri Kladno.png
112;Jaroslav Vlach;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Jaroslav Vlach Bili Tygri Liberec.png
113;Jayce Hawryluk;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Jayce Hawryluk Bili Tygri Liberec.png
114;Jérémie Ouellet-Blain;Mountfield HK;/mount/src/hokejove_karty/Karty/Jeremie Ouellet-Blain Mountfield HK.png
115;Jindřich Abdul;HC VERVA Litvínov;/mount/src/hokejove_karty/Karty/Jindrich Abdul HC VERVA Litvinov.png
116;Jiří Černoch;HC Energie Karlovy Vary;/mount/src/hokejove_karty/Karty/Jiri Cernoch HC Energie Karlovy Vary.png
